time,HDifHor,HDirNor,HGloHor,HHorIR,TBlaSky,TDewPoi,TDryBul,TWetBul,ceiHei,cloTim,nOpa,nTot,relHum,solAlt,solDec,solHouAng,solTim,solZen,winDir,winSpe,lat,lon,pAtm
0.0,0.0,0.0,0.0,218.0,249.15567,257.05,260.95,260.17477,2740.0,0.0,0.9,0.9,0.73,-1.2405471,-0.40288612,-3.1210277,282.7876,2.8113434,4.712389,2.6,0.7326892018318176,-1.5344934463500977,101325.0
3600.0,0.0,0.0,0.0,218.0,249.15567,257.05,260.95,260.17477,2740.0,3600.0,0.9,0.9,0.73,-1.1655939,-0.40283296,-2.85931,3881.6653,2.73639,4.712389,2.6,0.7326892018318176,-1.5344934463500977,101325.0
7200.0,0.0,0.0,0.0,227.0,251.50783,257.55,261.45,260.64954,1680.0,7200.0,1.0,1.0,0.73,-1.0109726,-0.40277955,-2.597592,7480.5435,2.581769,4.363323,2.6,0.7326892018318176,-1.5344934463500977,101325.0
10800.0,0.0,0.0,0.0,230.0,252.23586,258.15,262.05,261.21857,1400.0,10800.0,1.0,1.0,0.73,-0.82687265,-0.40272593,-2.3358743,11079.422,2.397669,4.1887903,2.1,0.7326892018318176,-1.5344934463500977,101325.0
14400.0,0.0,0.0,0.0,230.0,252.23586,258.15,262.05,261.21857,1400.0,14400.0,1.0,1.0,0.73,-0.6335629,-0.40267208,-2.0741565,14678.302,2.2043593,4.0142574,2.6,0.7326892018318176,-1.5344934463500977,101325.0
18000.0,0.0,0.0,0.0,232.0,252.86765,258.75,262.55,261.69217,1400.0,18000.0,1.0,1.0,0.73,-0.43978727,-0.40261802,-1.8124386,18277.182,2.0105836,4.1887903,2.6,0.7326892018318176,-1.5344934463500977,101325.0
21600.0,0.0,0.0,0.0,232.0,252.86765,258.75,262.55,261.69217,1830.0,21600.0,1.0,1.0,0.73,-0.2509449,-0.40256375,-1.5507206,21876.06,1.8217412,3.6651914,2.6,0.7326892018318176,-1.5344934463500977,101325.0
25200.0,2.2826087,3.5603864,0.90789473,232.0,252.9926,259.25,262.55,261.82013,1680.0,25200.0,1.0,1.0,0.77,-0.071880415,-0.40250927,-1.2890027,25474.941,1.6426767,3.1415927,3.1,0.7326892018318176,-1.5344934463500977,101325.0
28800.0,27.637033,188.53322,53.312634,224.0,250.61671,259.85,263.15,262.3926,2130.0,28800.0,0.8,0.8,0.77,0.09186594,-0.40245456,-1.0272846,29073.822,1.4789304,3.1415927,2.6,0.7326892018318176,-1.5344934463500977,101325.0
32400.0,59.938812,501.1997,179.69447,207.0,245.81914,259.85,264.25,263.22723,2000.0,32400.0,0.0,0.0,0.71,0.23332006,-0.40239963,-0.7655666,32672.703,1.3374763,3.3161256,3.1,0.7326892018318176,-1.5344934463500977,101325.0
