#1 
double tab(8641,2)
0.0 273.15
300.0 273.15
600.0 273.15
900.0 273.15
1200.0 273.15
1500.0 273.15
1800.0 273.15
2100.0 273.15
2400.0 273.15
2700.0 273.15
3000.0 273.15
3300.0 273.15
3600.0 273.15
3900.0 273.15
4200.0 273.15
4500.0 273.15
4800.0 273.15
5100.0 273.15
5400.0 273.15
5700.0 273.15
6000.0 273.15
6300.0 273.15
6600.0 273.15
6900.0 273.15
7200.0 273.15
7500.0 273.15
7800.0 273.15
8100.0 273.15
8400.0 273.15
8700.0 273.15
9000.0 273.15
9300.0 273.15
9600.0 273.15
9900.0 273.15
10200.0 273.15
10500.0 273.15
10800.0 273.15
11100.0 273.15
11400.0 273.15
11700.0 273.15
12000.0 273.15
12300.0 273.15
12600.0 273.15
12900.0 273.15
13200.0 273.15
13500.0 273.15
13800.0 273.15
14100.0 273.15
14400.0 273.15
14700.0 273.15
15000.0 273.15
15300.0 273.15
15600.0 273.15
15900.0 273.15
16200.0 273.15
16500.0 273.15
16800.0 273.15
17100.0 273.15
17400.0 273.15
17700.0 273.15
18000.0 273.15
18300.0 273.15
18600.0 273.15
18900.0 273.15
19200.0 273.15
19500.0 273.15
19800.0 273.15
20100.0 273.15
20400.0 273.15
20700.0 273.15
21000.0 273.15
21300.0 273.15181485568
21600.0 273.1637546956801
21900.0 273.2388324095999
22200.0 273.3996823295995
22500.0 273.6577254758403
22800.0 273.9582208358417
23100.0 274.33427781120076
23400.0 274.7167863551997
23700.0 275.11181483519863
24000.0 275.4837458073589
24300.0 275.8336619673604
24600.0 276.0999267072002
24900.0 276.33414979905274
25200.0 276.4167457878596
25500.0 276.4608628242963
25800.0 276.4261449339259
26100.0 276.34820144355575
26400.0 276.2414408865191
26700.0 276.09992608350825
27000.0 275.9522054172441
27300.0 275.7979201668742
27600.0 275.6538343934105
27900.0 275.5240671163729
28200.0 275.4333127784293
28500.0 275.3602503547259
28800.0 275.36333180239
29100.0 275.37627953151986
29400.0 275.41138545152
29700.0 275.45563745280003
30000.0 275.50889035946653
30300.0 275.57835293354674
30600.0 275.65362885120044
30900.0 275.7514010112002
31200.0 275.8576122965332
31500.0 275.98175672319945
31800.0 276.123136653653
32100.0 276.27639510698697
32400.0 276.4686697727999
32700.0 276.6819458124795
33000.0 276.9896261324809
33300.0 277.3291986048013
33600.0 277.7150459648003
33900.0 278.1224618367992
34200.0 278.5400275967979
34500.0 278.9435701683195
34800.0 279.3327016192007
35100.0 279.6743582591997
35400.0 279.9626316492797
35700.0 280.1966607692806
36000.0 280.3302485908791
36300.0 280.43181875692306
36600.0 280.4931646030767
36900.0 280.54849931323054
37200.0 280.5905786978461
37500.0 280.6269956184616
37800.0 280.6593790030768
38100.0 280.6916549267693
38400.0 280.72512172307705
38700.0 280.7668244923077
39000.0 280.8161334153845
39300.0 280.87685156923044
39600.0 280.95361032861524
39900.0 281.03819843117964
40200.0 281.1314751097435
40500.0 281.2261811913844
40800.0 281.32420467856434
41100.0 281.422638986667
41400.0 281.5215043200001
41700.0 281.6184334071793
42000.0 281.71456105682
42300.0 281.80494146707684
42600.0 281.8924865394873
42900.0 281.9735401805127
43200.0 282.0466047783384
43500.0 282.11378855269766
43800.0 282.1666248106668
44100.0 282.215457984
44400.0 282.25379451733323
44700.0 282.28958900906656
45000.0 282.3214407424
45300.0 282.35260085333334
45600.0 282.38341098666655
45900.0 282.4183410176
46200.0 282.4556004693335
46500.0 282.50065700266674
46800.0 282.5586208142221
47100.0 282.63056751051806
47400.0 282.7392825727998
47700.0 282.8607686080003
48000.0 283.0084942079999
48300.0 283.1570424511998
48600.0 283.30754725120045
48900.0 283.44593865600046
49200.0 283.57511705600007
49500.0 283.6661325759999
49800.0 283.74209076479974
50100.0 283.75629956479986
50400.0 283.7467739221333
50700.0 283.69917427768894
51000.0 283.65
51300.0 283.59999999999974
51600.0 283.5499999999999
51900.0 283.5
52200.0 283.45000000000016
52500.0 283.40000000000015
52800.0 283.3499999999999
53100.0 283.29999999999995
53400.0 283.25000000000006
53700.0 283.1999999999999
54000.0 283.14999999999975
54300.0 283.0999999999999
54600.0 283.05000000000007
54900.0 283.0000000000002
55200.0 282.95000000000005
55500.0 282.89999999999986
55800.0 282.85
56100.0 282.80000000000007
56400.0 282.74999999999983
56700.0 282.6999999999998
57000.0 282.65
57300.0 282.6000000000001
57600.0 282.5414398486458
57900.0 282.44685572700797
58200.0 282.30876776421036
58500.0 282.1204253642109
58800.0 281.8852893547787
59100.0 281.6331075772618
59400.0 281.34854892463096
59700.0 281.06351492042126
60000.0 280.7772585835799
60300.0 280.5071441677481
60600.0 280.25013044143117
60900.0 280.0427074290525
61200.0 279.8522388622225
61500.0 279.72168152265084
61800.0 279.60495408505216
62100.0 279.51197800084196
62400.0 279.4335146913685
62700.0 279.3632148176845
63000.0 279.3000591872
63300.0 279.23630325557883
63600.0 279.1668279713685
63900.0 279.08738834795787
64200.0 278.99606144269427
64500.0 278.87802113684177
64800.0 278.75
65100.0 278.55542094035155
65400.0 278.3430633957061
65700.0 278.0831222588629
66000.0 277.80489435396464
66300.0 277.51133783466724
66600.0 277.2162564661892
66900.0 276.9234605237881
67200.0 276.65791332378893
67500.0 276.41455101642117
67800.0 276.21062851817607
68100.0 276.06559973501163
68400.0 275.95486349480564
68700.0 275.89174454772484
69000.0 275.8342988742435
69300.0 275.7797398689522
69600.0 275.7265475623278
69900.0 275.6750392237036
70200.0 275.62540151365084
70500.0 275.57649127026474
70800.0 275.52970938649736
71100.0 275.48339160634913
